STATUS | wrapper  | 2016/12/28 11:05:47 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/12/28 11:05:47 | Launching a JVM...
INFO   | jvm 1    | 2016/12/28 11:05:49 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/28 11:05:49 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/28 11:05:49 | 
INFO   | jvm 1    | 2016/12/28 11:05:50 | Java Runtime: Oracle Corporation 1.8.0_111 C:\Program Files\Java\jre1.8.0_111
INFO   | jvm 1    | 2016/12/28 11:05:50 |   Heap sizes: current=62976k  free=56991k  max=932352k
INFO   | jvm 1    | 2016/12/28 11:05:50 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=pHEkmmHe1KXKqKiP -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=4276 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2016/12/28 11:05:50 | Extensions classpath:
INFO   | jvm 1    | 2016/12/28 11:05:50 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2016/12/28 11:05:50 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2016/12/28 11:05:50 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2016/12/28 11:05:50 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2016/12/28 11:05:50 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2016/12/28 11:05:50 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2016/12/28 11:05:50 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6015b177: startup date [Wed Dec 28 11:05:50 EET 2016]; root of context hierarchy
INFO   | jvm 1    | 2016/12/28 11:05:52 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\iwane\Desktop\apache-activemq-5.14.2\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | PListStore:[C:\Users\iwane\Desktop\apache-activemq-5.14.2\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Apache ActiveMQ 5.14.2 (localhost, ID:DESKTOP-C0IHR8C-61563-1482915954181-0:1) is starting
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Listening for connections at: tcp://DESKTOP-C0IHR8C:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Connector openwire started
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Listening for connections at: amqp://DESKTOP-C0IHR8C:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Connector amqp started
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Listening for connections at: stomp://DESKTOP-C0IHR8C:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Connector stomp started
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Listening for connections at: mqtt://DESKTOP-C0IHR8C:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2016/12/28 11:05:54 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2016/12/28 11:05:54 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@3997ca0d{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2016/12/28 11:05:55 |  INFO | Listening for connections at ws://DESKTOP-C0IHR8C:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2016/12/28 11:05:55 |  INFO | Connector ws started
INFO   | jvm 1    | 2016/12/28 11:05:55 |  INFO | Apache ActiveMQ 5.14.2 (localhost, ID:DESKTOP-C0IHR8C-61563-1482915954181-0:1) started
INFO   | jvm 1    | 2016/12/28 11:05:55 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2016/12/28 11:05:56 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2016/12/28 11:05:56 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2016/12/28 11:05:56 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2016/12/28 11:05:56 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2016/12/28 11:05:57 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2016/12/28 11:05:57 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
